date,flag,vessels_fishing,fishing_hours
2016-08-23,AGO,8,138.145277778
2016-08-24,AGO,5,84.65125
2016-08-25,AGO,6,101.837638889
2016-08-26,AGO,8,152.032777778
2016-08-27,AGO,8,180.329444444
2016-08-28,AGO,9,194.805416667
2016-08-29,AGO,9,204.249444444
2016-08-30,AGO,8,186.397777778
2016-08-31,AGO,9,211.221944444
2016-09-01,AGO,10,219.234166667
2016-09-02,AGO,9,187.519583333
2016-09-03,AGO,10,228.864583333
2016-09-04,AGO,9,204.057777778
2016-09-05,AGO,9,183.890694444
2016-09-06,AGO,9,192.938333333
2016-09-07,AGO,10,180.759722222
2016-09-08,AGO,10,213.280416667
2016-09-09,AGO,9,189.123055556
2016-09-10,AGO,9,203.964444444
2016-09-11,AGO,9,213.555
2016-09-12,AGO,10,209.864305556
2016-09-13,AGO,11,189.300416667
2016-09-14,AGO,11,177.333472222
2016-09-15,AGO,10,181.571111111
2016-09-16,AGO,8,146.809583333
2016-09-17,AGO,8,170.873888889
2016-09-18,AGO,7,161.336388889
2016-09-19,AGO,9,178.710833333
2016-09-20,AGO,9,169.383333333
2016-09-21,AGO,9,205.04625
2016-09-22,AGO,10,226.560972222
2016-09-23,AGO,10,218.661111111
2016-09-24,AGO,8,215.62875
2016-09-25,AGO,9,194.175416667
2016-09-26,AGO,9,216.76875
2016-09-27,AGO,10,211.365555556
2016-09-28,AGO,9,198.879444444
2016-09-29,AGO,8,192.681666667
2016-09-30,AGO,8,180.196944444
2016-10-01,AGO,6,148.378472222
2016-10-02,AGO,4,93.8736111111
2016-10-03,AGO,2,34.6020833333
2016-10-04,AGO,3,53.3168055556
2016-10-05,AGO,3,39.1388888889
2016-10-06,AGO,3,26.0923611111
2016-10-07,AGO,2,9.69902777778
2016-10-08,AGO,2,36.1961111111
2016-10-09,AGO,4,49.8658333333
2016-10-10,AGO,4,115.955694444
2016-10-11,AGO,7,155.778333333
2016-10-12,AGO,6,173.242916667
2016-10-13,AGO,8,162.052916667
2016-10-14,AGO,8,214.214583333
2016-10-15,AGO,8,207.4075
2016-10-16,AGO,8,223.4175
2016-10-17,AGO,9,202.419861111
2016-10-18,AGO,9,216.249861111
2016-10-19,AGO,9,198.517222222
2016-10-20,AGO,9,192.890277778
2016-10-21,AGO,8,183.532916667
2016-10-22,AGO,9,212.928333333
2016-10-23,AGO,9,204.978611111
2016-10-24,AGO,10,206.973888889
2016-10-25,AGO,10,195.65625
2016-10-26,AGO,10,193.050555556
2016-10-27,AGO,9,209.376111111
2016-10-28,AGO,9,186.826111111
2016-10-29,AGO,9,197.885555556
2016-10-30,AGO,8,187.085
2016-10-31,AGO,10,212.188194444
2016-11-01,AGO,10,176.894027778
2016-11-02,AGO,8,168.13375
2016-11-03,AGO,8,159.906527778
2016-11-04,AGO,9,180.967083333
2016-11-05,AGO,9,190.485
2016-11-06,AGO,9,204.185416667
2016-11-07,AGO,10,207.210555556
2016-11-08,AGO,9,171.542083333
2016-11-09,AGO,9,174.401666667
2016-11-10,AGO,9,178.526805556
2016-11-11,AGO,8,192.808055556
2016-11-12,AGO,8,177.784305556
2016-11-13,AGO,9,177.816805556
2016-11-14,AGO,7,128.254722222
2016-11-15,AGO,8,179.535972222
2016-11-16,AGO,9,186.665555556
2016-11-17,AGO,8,151.513611111
2016-11-18,AGO,7,147.089027778
2016-11-19,AGO,6,106.160972222
2016-11-20,AGO,4,72.8875
2016-11-21,AGO,6,106.643611111
2016-11-22,AGO,6,142.190972222
2016-11-23,AGO,6,140.779583333
2016-11-24,AGO,6,145.401527778
2016-11-25,AGO,8,169.700833333
2016-11-26,AGO,8,181.801944444
2016-11-27,AGO,10,184.949166667
2016-11-28,AGO,10,218.340416667
2016-11-29,AGO,9,163.048194444
2016-11-30,AGO,9,193.434027778
2016-12-01,AGO,10,220.668055556
2016-12-02,AGO,10,213.720555556
2016-12-03,AGO,10,206.785694444
2016-12-04,AGO,9,200.001388889
2016-12-05,AGO,9,189.43875
2016-12-06,AGO,10,186.265555556
2016-12-07,AGO,8,142.853888889
2016-12-08,AGO,9,125.894027778
2016-12-09,AGO,7,123.652916667
2016-12-10,AGO,5,81.2227777778
2016-12-11,AGO,8,160.645972222
2016-12-12,AGO,9,188.251527778
2016-12-13,AGO,8,169.425416667
2016-12-14,AGO,9,161.455833333
2016-12-15,AGO,8,174.423888889
2016-12-16,AGO,10,160.677916667
2016-12-17,AGO,9,181.361111111
2016-12-18,AGO,9,206.829722222
2016-12-19,AGO,10,197.435833333
2016-12-20,AGO,7,173.479722222
2016-12-21,AGO,8,175.5075
2016-12-22,AGO,7,176.215
2016-12-23,AGO,9,171.566388889
2016-12-24,AGO,9,153.604027778
2016-12-25,AGO,8,162.447777778
2016-12-26,AGO,9,205.029444444
2016-12-27,AGO,10,198.248472222
2016-12-28,AGO,9,192.301388889
2016-12-29,AGO,8,166.761388889
2016-12-30,AGO,8,108.430277778
2016-12-31,AGO,5,25.2865277778
2014-08-11,ALB,1,5.99875
2014-08-12,ALB,1,4.21833333333
2014-08-13,ALB,1,4.17694444444
